ground_truth_posture,ARAMANDI,MUZHUMANDI,SAMAPADHAM,SWASTIKAPADAM,TRANSITION
ALAPADMA,0,0,12,4,0
ARAMANDI,20,1,7,0,4
KATAKAMUKHA,0,0,14,1,1
MUSHTI,0,0,15,1,0
MUZHUMANDI,19,4,1,4,4
PATAKA,0,0,10,5,1
SAMAPADHAM,1,0,16,12,3
SWASTIKAPADAM,21,0,5,22,0
