ground_truth_posture,ALAPADMA,ARAMANDI,KATAKAMUKHA,MUSHTI,MUZHUMANDI,NONE,PATAKA,SAMAPADHAM,SWASTIKAPADAM,TRANSITION
ALAPADMA,6,0,0,1,0,0,2,6,0,1
ARAMANDI,0,19,0,0,0,0,0,8,5,0
KATAKAMUKHA,6,0,1,0,0,0,0,9,0,0
MUSHTI,0,0,0,5,0,0,2,9,0,0
MUZHUMANDI,0,10,0,0,21,0,0,0,0,1
PATAKA,0,0,0,0,0,2,11,3,0,0
SAMAPADHAM,0,0,0,0,0,0,0,28,4,0
SWASTIKAPADAM,0,14,0,0,0,0,0,14,20,0
