ground_truth_posture,ARAMANDI,MUZHUMANDI,SAMAPADHAM,SWASTIKAPADAM,TRANSITION
ALAPADMA,0,0,16,0,0
ARAMANDI,12,0,14,6,0
KATAKAMUKHA,0,0,16,0,0
MUSHTI,0,0,16,0,0
MUZHUMANDI,1,18,1,0,12
PATAKA,0,0,16,0,0
SAMAPADHAM,0,0,32,0,0
SWASTIKAPADAM,14,0,6,28,0
