ground_truth_posture,ALAPADMA,ARAMANDI,KATAKAMUKHA,MUSHTI,MUZHUMANDI,NONE,PATAKA,SAMAPADHAM,SWASTIKAPADAM,TRANSITION
ALAPADMA,9,0,0,0,0,0,0,5,0,2
ARAMANDI,0,19,0,0,0,0,0,7,6,0
KATAKAMUKHA,3,0,4,2,0,2,1,4,0,0
MUSHTI,0,0,1,7,0,0,4,4,0,0
MUZHUMANDI,0,0,0,0,32,0,0,0,0,0
PATAKA,1,0,0,1,0,1,10,3,0,0
SAMAPADHAM,0,0,0,0,0,0,0,29,3,0
SWASTIKAPADAM,0,20,0,0,0,0,0,9,19,0
