ground_truth_posture,ARAMANDI,MUZHUMANDI,SAMAPADHAM,SWASTIKAPADAM
ALAPADMA,0,0,16,0
ARAMANDI,22,0,6,4
KATAKAMUKHA,0,0,16,0
MUSHTI,0,0,16,0
MUZHUMANDI,0,32,0,0
PATAKA,0,0,16,0
SAMAPADHAM,0,0,32,0
SWASTIKAPADAM,19,0,5,24
