ground_truth_posture,,ALAPADMA,ARAMANDI,KATAKAMUKHA,MUSHTI,MUZHUMANDI,PATAKA,SAMAPADHAM,SWASTIKAPADAM
ALAPADMA,1,9,0,0,1,0,0,5,0
ARAMANDI,0,0,20,0,1,0,0,6,5
KATAKAMUKHA,0,4,0,1,2,0,1,8,0
MUSHTI,0,1,0,1,5,0,1,8,0
MUZHUMANDI,0,0,0,0,0,31,0,0,1
PATAKA,0,0,0,0,0,0,12,4,0
SAMAPADHAM,0,0,0,0,0,0,0,32,0
SWASTIKAPADAM,1,1,14,0,0,0,1,14,17
