ground_truth_posture,ARAMANDI,MUZHUMANDI,SAMAPADHAM,SWASTIKAPADAM
ALAPADMA,0,0,16,0
ARAMANDI,20,0,7,5
KATAKAMUKHA,0,0,16,0
MUSHTI,0,0,16,0
MUZHUMANDI,0,32,0,0
PATAKA,0,0,16,0
SAMAPADHAM,0,0,32,0
SWASTIKAPADAM,20,0,8,20
