ground_truth_posture,,ALAPADMA,ARAMANDI,KATAKAMUKHA,MUSHTI,MUZHUMANDI,PATAKA,SAMAPADHAM,SWASTIKAPADAM
ALAPADMA,0,10,0,0,0,0,1,5,0
ARAMANDI,0,0,18,0,0,0,0,8,6
KATAKAMUKHA,2,3,0,4,2,0,1,4,0
MUSHTI,0,0,0,1,7,0,4,4,0
MUZHUMANDI,0,0,0,0,0,32,0,0,0
PATAKA,1,1,0,0,1,0,10,3,0
SAMAPADHAM,0,0,0,0,0,0,0,29,3
SWASTIKAPADAM,0,0,18,0,1,0,1,7,21
